,Enew,Eold,accept,acceptance_rate,deltaE,effective_ns_per_day,effective_timestep,ke,mass,naccept,ns_per_day,ntrials
0,-27717.9921875,-27719.41015625,1.0,0.19645088727818044,1.41796875,0.6170566389118318,0.09822544363909022,9851.0498046875,1.0,786.0,3.141022407488854,4001.0
1,-28220.638671875,-28221.45703125,1.0,0.7470632341914522,0.818359375,2.3237410584092744,0.3735316170957261,10052.134765625,1.5,2989.0,3.110501162494315,4001.0
2,-28064.314453125,-28063.552734375,1.0,0.4438890277430642,-0.76171875,1.389915280504348,0.2219445138715321,9807.267578125,2.0,1776.0,3.1312224309109777,4001.0
3,-27757.01953125,-27756.611328125,1.0,0.8350412396900775,-0.408203125,2.6119030725435026,0.41752061984503874,10074.6640625,2.5,3341.0,3.127873149729588,4001.0
4,-27489.99609375,-27490.001953125,1.0,0.7993001749562609,0.005859375,2.49873360070315,0.39965008747813047,10461.0458984375,3.0,3198.0,3.126151699941621,4001.0
5,-27702.1640625,-27700.74609375,1.0,0.8007998000499875,-1.41796875,2.500305949793149,0.40039990002499376,10458.59375,3.5,3204.0,3.1222609566549284,4001.0
6,-27804.07421875,-27805.970703125,0.0,0.7088227943014247,1.896484375,2.211069070984451,0.35441139715071235,10021.7880859375,4.0,2836.0,3.119353791610997,4001.0
