,Enew,Eold,accept,acceptance_rate,deltaE,effective_ns_per_day,effective_timestep,ke,mass,naccept,ns_per_day,ntrials
0,247669.4375,247627.296875,0.0,0.002999000333222259,42.140625,0.16535313930962886,0.004498500499833389,62576.5859375,1.0,9.0,55.13608567424403,3001.0
1,247605.84375,247610.3125,1.0,0.12229256914361879,-4.46875,6.675089035428995,0.18343885371542817,63459.50390625,2.0,367.0,54.5829487610965,3001.0
2,247581.03125,247583.25,1.0,0.17127624125291568,-2.21875,9.450483877682752,0.25691436187937355,63076.6875,3.0,514.0,55.17685236756019,3001.0
3,248277.53125,248278.78125,1.0,0.18560479840053315,-1.25,10.259106961779775,0.27840719760079974,63483.34375,3.5,557.0,55.27393176355674,3001.0
4,248541.25,248538.359375,1.0,0.16794401866044653,2.890625,9.354437652554985,0.2519160279906698,63426.3515625,4.0,504.0,55.69973689547124,3001.0
